Old_Value,KOT_No_,New_Value,Price,Modified_After_In_Minutes,User_year,User_month,User_day,User_hour,Order_Type_year,Order_Type_month,Order_Type_day,Order_Type_hour,Item_Modified_Date_year,Item_Modified_Date_month,Item_Modified_Date_day,Item_Modified_Date_hour,KOT_Item_Status_year,KOT_Item_Status_month,KOT_Item_Status_day,KOT_Item_Status_hour,Status_year,Status_month,Status_day,Status_hour,Item_Name_year,Item_Name_month,Item_Name_day,Item_Name_hour,Created_year,Created_month,Created_day,Created_hour,Reason_year,Reason_month,Reason_day,Reason_hour
-0.6198437933094333,-0.3187102361846208,-0.4409578603152576,-0.2885645607979996,-0.5465577922047965,,,,,,,,,2024,10,1,0,,,,,,,,,,,,,2024,10,1,0,,,,
-0.6198437933094333,-1.2413597571360888,-0.4409578603152576,-0.20965576424326726,-0.389338407657384,,,,,,,,,2024,10,1,14,,,,,,,,,,,,,2024,10,1,13,,,,
-0.6198437933094333,-1.153950855151213,0.07304209956142303,0.1490205837327887,-0.48751543253999985,,,,,,,,,2024,10,1,14,,,,,,,,,,,,,2024,10,1,14,,,,
-0.6198437933094333,-1.1345266547101294,-0.4409578603152576,0.12750000285422533,-0.5176061974891644,,,,,,,,,2024,10,1,15,,,,,,,,,,,,,2024,10,1,15,,,,
-0.6198437933094333,-0.5518006414776233,-0.4409578603152576,-0.37106012083249246,-0.5625339601140944,,,,,,,,,2024,10,1,21,,,,,,,,,,,,,2024,10,1,20,,,,
-0.6198437933094333,0.322288378371136,-0.4409578603152576,-0.18813518336470392,-0.3775299357244246,,,,,,,,,2024,10,1,23,,,,,,,,,,,,,2024,10,1,23,,,,
-0.6198437933094333,0.448545681238179,-0.4409578603152576,-0.13792049464805606,-0.37568225717491455,,,,,,,,,2024,10,2,0,,,,,,,,,,,,,2024,10,2,0,,,,
-0.6198437933094333,-1.3384807593415067,-0.4409578603152576,0.005550044542366314,-0.5657708706557173,,,,,,,,,2024,10,2,12,,,,,,,,,,,,,2024,10,2,12,,,,
-0.6198437933094333,-1.3384807593415067,-0.4409578603152576,-0.18454841988494333,-0.5657708706557173,,,,,,,,,2024,10,2,12,,,,,,,,,,,,,2024,10,2,12,,,,
-0.6198437933094333,-1.2413597571360888,-0.4409578603152576,0.19206174548991542,-0.5236354643349342,,,,,,,,,2024,10,2,13,,,,,,,,,,,,,2024,10,2,13,,,,
