invoice_no,date_orap,bill_no,amount_from,amount_to,modified_by,modify_comment,electron_pos,browser_info
4681,2024-06-20 00:08:51+00:00,F4681,3523.0,3355.0,vijay,removed sc,2024-06-20 00:08:51+00:00,
5093,2024-06-27 15:09:55+00:00,F5093,52000.0,51200.0,vijay (vijay shetty. ),all inclussive 1600,2024-06-27 15:11:18+00:00,
5561,2024-07-06 14:59:50+00:00,F5561,4862.0,4631.0,sachindra,GUSTE,2024-07-06 14:59:50+00:00,
10747,2024-10-02 15:30:31+00:00,F10747,11021.0,10496.0,vijay (vijay shetty).,removed sc,2024-10-02 15:38:56+00:00,
1467,2024-04-27 22:06:37+00:00,F1467,5871.0,5591.0,vijay,no sc,2024-04-27 22:06:37+00:00,
3523,2024-05-31 15:08:22+00:00,F3523,4151.0,3953.0,sachindra,YES,2024-05-31 15:08:22+00:00,
4252,2024-06-12 23:25:30+00:00,F4252,8820.0,8400.0,vijay,no sc,2024-06-12 23:25:30+00:00,
2598,2024-05-15 15:16:27+00:00,F2598,14814.0,14109.0,vijay,no sc,2024-05-15 15:16:27+00:00,
2629,2024-09-13 22:20:27+00:00,B2629,628.0,1256.0,vijay (vijay shetty).,repeat,2024-09-13 22:21:34+00:00,
5934,2024-07-12 22:06:20+00:00,F5934,6759.0,5407.0,vijay,ref vinoo sir,2024-07-12 22:06:20+00:00,
7836,2024-08-13 22:50:49+00:00,F7836,22987.0,21893.0,sachindra (sachindra. ),SC%,2024-08-13 22:55:56+00:00,
10531,2024-09-28 23:00:43+00:00,F10531,3506.0,3339.0,vijay (vijay shetty).,removed sc,2024-09-28 23:04:21+00:00,
10807,2024-10-03 14:52:56+00:00,F10807,9554.0,9099.0,sachindra (sachindra).,SC%,2024-10-03 14:58:58+00:00,
11378,2024-10-12 22:08:52+00:00,F11378,2343.0,2231.0,vijay (vijay shetty).,removed sc,2024-10-12 22:13:10+00:00,
1254,2024-04-23 23:29:28+00:00,F1254,3056.0,2903.0,sachindra (sachindra. ),yes,2024-04-23 23:32:37+00:00,
495,2024-04-10 00:56:12+00:00,F495,13440.0,12800.0,sachindra (sachindra. ),YES,2024-04-10 00:59:51+00:00,
699,2024-05-12 14:46:07+00:00,B699,398.0,380.0,sachindra (sachindra. ),YES,2024-05-12 14:49:40+00:00,
1093,2024-06-07 22:53:09+00:00,B1093,5549.0,4994.0,vijay (vijay shetty. ),discount,2024-06-07 22:57:30+00:00,
1207,2024-04-22 21:58:23+00:00,F1207,3638.0,3465.0,vijay,no sc,2024-04-22 21:58:23+00:00,
1806,2024-07-21 23:04:19+00:00,B1806,3769.0,3597.0,vijay (vijay shetty. ),removed sc,2024-07-21 23:09:34+00:00,
4989,2024-06-24 22:16:33+00:00,F4989,40864.0,38918.0,vijay,removed sc/more,2024-06-24 22:16:33+00:00,
9805,2024-09-15 21:00:17+00:00,F9805,1301.0,1239.0,vijay (vijay shetty).,removed sc,2024-09-15 21:03:15+00:00,
11095,2024-10-07 23:04:37+00:00,F11095,9592.0,9135.0,vijay (vijay shetty).,removed sc,2024-10-07 23:07:40+00:00,
494,2024-04-29 23:10:25+00:00,B494,634.0,605.0,vijay (vijay shetty. ),no sc,2024-04-29 23:13:40+00:00,
567,2024-05-04 23:50:22+00:00,B567,6915.0,6600.0,sachindra,YES,2024-05-04 23:50:22+00:00,
848,2024-05-23 13:09:47+00:00,B848,319.0,456.0,sachindra (sachindra. ),FHRA,2024-05-23 13:15:10+00:00,
1044,2024-06-04 20:55:20+00:00,B1044,380.0,363.0,sachindra,YES,2024-06-04 20:55:20+00:00,
5680,2024-07-07 20:50:15+00:00,F5680,7718.0,7350.0,vijay,removed sc,2024-07-07 20:50:15+00:00,
8240,2024-08-19 22:57:45+00:00,F8240,1902.0,1811.0,vijay (vijay shetty. ),removed sc,2024-08-19 22:59:43+00:00,
8403,2024-08-23 20:19:29+00:00,F8403,6472.0,6164.0,vijay (vijay shetty. ),removed sc,2024-08-23 20:20:49+00:00,
9049,2024-09-02 15:20:08+00:00,F9049,16109.0,15342.0,sachindra (sachindra).,SC,2024-09-02 15:22:44+00:00,
11129,2024-10-08 21:13:17+00:00,F11129,6582.0,6269.0,sachindra (sachindra).,SC%,2024-10-08 21:15:43+00:00,
1305,2024-04-24 23:11:29+00:00,F1305,877.0,835.0,vijay,no sc,2024-04-24 23:11:29+00:00,
2132,2024-08-10 23:28:06+00:00,B2132,3579.0,3416.0,vijay (vijay shetty. ),removed sc,2024-08-10 23:30:40+00:00,
3837,2024-06-05 21:16:01+00:00,F3837,3358.0,3950.0,vijay (vijay shetty. ),wrong punchinmg,2024-06-05 21:17:38+00:00,
4125,2024-06-10 00:05:14+00:00,F4125,16940.0,16133.0,vijay,no sc,2024-06-10 00:05:14+00:00,
4820,2024-06-22 21:59:09+00:00,F4820,3950.0,3754.0,vijay (vijay shetty. ),removed sc,2024-06-22 22:01:12+00:00,
8221,2024-08-19 21:06:54+00:00,F8221,1141.0,1087.0,vijay (vijay shetty. ),removed sc,2024-08-19 21:10:15+00:00,
10000,2024-09-20 15:19:09+00:00,F10000,40067.0,38159.0,sachindra (sachindra).,SC%,2024-09-20 15:22:22+00:00,
10021,2024-09-20 22:11:36+00:00,F10021,7767.0,7397.0,vijay (vijay shetty).,removed sc,2024-09-20 22:15:17+00:00,
11623,2024-10-16 13:19:06+00:00,F11623,4416.0,4205.0,sachindra (sachindra).,sc,2024-10-16 13:22:12+00:00,
916,2024-05-26 15:11:10+00:00,B916,536.0,512.0,sachindra (sachindra. ),YES,2024-05-26 15:15:20+00:00,
1054,2024-04-20 21:47:26+00:00,F1054,1940.0,1836.0,TAPASH,just for test,2024-04-20 21:47:26+00:00,
2700,2024-05-17 14:31:49+00:00,F2700,2657.0,2531.0,sachindra,yes,2024-05-17 14:31:49+00:00,
2830,2024-05-18 23:58:39+00:00,F2830,24917.0,23730.0,vijay,no sc,2024-05-18 23:58:39+00:00,
3369,2024-05-27 23:37:00+00:00,F3369,2222.0,2116.0,vijay,no sc,2024-05-27 23:37:00+00:00,
3939,2024-06-07 22:27:58+00:00,F3939,10827.0,8661.0,vijay,20%disc,2024-06-07 22:27:58+00:00,
4009,2024-06-08 21:40:20+00:00,F4009,5557.0,5292.0,vijay,no sc,2024-06-08 21:40:20+00:00,
4404,2024-06-15 22:31:38+00:00,F4404,67473.0,64260.0,vijay (vijay shetty. ),removed sc,2024-06-15 22:32:21+00:00,
4648,2024-06-19 21:24:58+00:00,F4648,2392.0,2273.0,vijay (vijay shetty. ),removed sc,2024-06-19 21:30:32+00:00,
5497,2024-07-04 22:34:55+00:00,F5497,2960.0,2819.0,sachindra,SC%,2024-07-04 22:34:55+00:00,
5799,2024-07-10 15:50:09+00:00,F5799,9757.0,8782.0,vijay,offered 10%kitty discount,2024-07-10 15:50:09+00:00,
7953,2024-08-15 21:29:40+00:00,F7953,4047.0,3855.0,vijay (vijay shetty. ),removed sc,2024-08-15 21:31:58+00:00,
10873,2024-10-04 21:48:46+00:00,F10873,6196.0,5901.0,vijay (vijay shetty).,removed sc,2024-10-04 21:52:51+00:00,
80,2024-04-06 23:37:57+00:00,B80,1372.0,1309.0,vijay (vijay shetty. ),no sc,2024-04-06 23:41:23+00:00,
297,2024-04-06 23:17:44+00:00,F297,1345.0,1281.0,vijay,no sc,2024-04-06 23:17:44+00:00,
7222,2024-08-04 15:50:45+00:00,F7222,6565.0,6253.0,vijay (vijay shetty. ),removed sc,2024-08-04 15:54:54+00:00,
9083,2024-09-03 13:54:03+00:00,F9083,5226.0,4703.0,sachindra (sachindra). Discount changed from 0 to 474.,KITTY,2024-09-03 15:02:55+00:00,
10347,2024-09-25 21:52:57+00:00,F10347,821.0,782.0,vijay (vijay shetty).,removed sc,2024-09-25 21:57:05+00:00,
11636,2024-10-16 17:06:46+00:00,F11636,34018.0,27214.0,sachindra (sachindra). Discount changed from 0 to 6171.,MD,2024-10-16 17:26:40+00:00,
1290,2024-06-19 21:24:57+00:00,B1290,2927.0,2794.0,vijay,removed sc,2024-06-19 21:24:57+00:00,
2299,2024-05-10 23:28:35+00:00,F2299,2370.0,2252.0,vijay (vijay shetty. ),no sc,2024-05-10 23:32:16+00:00,
3108,2024-05-23 23:58:01+00:00,F3108,3793.0,3612.0,sachindra,YES,2024-05-23 23:58:01+00:00,
3879,2024-06-06 21:29:23+00:00,F3879,2922.0,2783.0,vijay,no sc,2024-06-06 21:29:23+00:00,
4882,2024-06-23 15:55:45+00:00,F4882,2486.0,2368.0,sachindra,SC%,2024-06-23 15:55:45+00:00,
6400,2024-07-21 15:12:55+00:00,F6400,3953.0,3764.0,sachindra,SC%,2024-07-21 15:12:55+00:00,
9122,2024-09-03 23:47:12+00:00,F9122,6521.0,6211.0,sachindra (sachindra).,SC,2024-09-03 23:48:42+00:00,
9519,2024-09-10 22:20:25+00:00,F9519,4151.0,3953.0,sachindra (sachindra).,SC%,2024-09-10 22:23:50+00:00,
11179,2024-10-09 22:40:19+00:00,F11179,10507.0,10007.0,vijay (vijay shetty).,removed sc,2024-10-09 22:46:11+00:00,
41,2024-04-02 13:43:49+00:00,F41,877.0,835.0,sachindra,yes,2024-04-02 13:43:49+00:00,
127,2024-04-08 23:56:38+00:00,B127,2282.0,2178.0,vijay (vijay shetty. ),no sc,2024-04-09 00:06:43+00:00,
1961,2024-08-01 22:51:10+00:00,B1961,1988.0,1898.0,sachindra (sachindra. ),SC,2024-08-01 22:54:33+00:00,
2135,2024-08-11 00:01:40+00:00,B2135,893.0,853.0,vijay (vijay shetty. ),removed sc,2024-08-11 00:06:46+00:00,
2861,2024-09-28 23:00:44+00:00,B2861,3613.0,3449.0,vijay (vijay shetty).,removed sc,2024-09-28 23:04:40+00:00,
3517,2024-05-31 12:57:08+00:00,F3517,1329.0,1577.0,sachindra,,2024-05-31 12:57:08+00:00,
3695,2024-06-02 20:24:01+00:00,F3695,1720.0,1638.0,sachindra,YES,2024-06-02 20:24:01+00:00,
6109,2024-07-15 16:21:59+00:00,F6109,13517.0,12873.0,sachindra,SC%,2024-07-15 16:21:59+00:00,
8631,2024-08-26 20:38:12+00:00,F8631,2277.0,2168.0,vijay (vijay shetty. ),removed sc,2024-08-26 20:40:20+00:00,
10332,2024-09-25 15:39:34+00:00,F10332,4162.0,3964.0,vijay (vijay shetty).,removed sc,2024-09-25 15:42:41+00:00,
10994,2024-10-06 15:31:30+00:00,F10994,5783.0,5507.0,sachindra (sachindra).,SC%,2024-10-06 15:33:28+00:00,
768,2024-04-14 22:41:17+00:00,F768,2679.0,2552.0,vijay,no sc,2024-04-14 22:41:17+00:00,
1766,2024-05-01 23:39:09+00:00,F1766,16857.0,16055.0,vijay,no sc,2024-05-01 23:39:09+00:00,
2560,2024-09-07 22:37:56+00:00,B2560,761.0,726.0,vijay (vijay shetty).,removed sc,2024-09-07 22:41:30+00:00,
2855,2024-05-19 15:31:10+00:00,F2855,1207.0,1150.0,sachindra,YES,2024-05-19 15:31:10+00:00,
3163,2024-05-25 00:26:17+00:00,F3163,13847.0,13188.0,vijay,no sc,2024-05-25 00:26:17+00:00,
7184,2024-08-04 00:05:37+00:00,F7184,5314.0,5061.0,vijay (vijay shetty. ),remove sc,2024-08-04 00:10:18+00:00,
8286,2024-08-21 14:53:31+00:00,F8286,15479.0,13268.0,sachindra (sachindra. ),SC%,2024-08-21 14:57:50+00:00,
8339,2024-08-22 14:55:08+00:00,F8339,6703.0,6384.0,sachindra (sachindra. ),SC%,2024-08-22 14:57:28+00:00,
9178,2024-09-05 00:29:49+00:00,F9178,3232.0,3071.0,vijay (vijay shetty).,removed sc,2024-09-05 00:37:33+00:00,
10949,2024-10-05 22:28:32+00:00,F10949,6626.0,6311.0,vijay (vijay shetty).,removed sc,2024-10-05 22:30:16+00:00,
762,2024-05-16 00:53:50+00:00,B762,1873.0,1498.0,vijay (vijay shetty. ),ref.babunna,2024-05-16 00:56:30+00:00,
1066,2024-06-06 21:29:24+00:00,B1066,1141.0,1089.0,vijay (vijay shetty. ),no sc,2024-06-06 21:34:08+00:00,
3623,2024-06-01 21:58:23+00:00,F3623,6521.0,6211.0,vijay,no sc,2024-06-01 21:58:23+00:00,
4659,2024-06-19 22:10:24+00:00,F4659,8390.0,7991.0,vijay,removed sc,2024-06-19 22:10:24+00:00,
10794,2024-10-02 23:13:25+00:00,F10794,1786.0,844.0,RAM (RAM RATHORE).,BERYANI WAS SPICY GUEST DIDENT LIKE CONFORM BY MR MEHATA CAP TONMAY,2024-10-03 00:06:11+00:00,
1349,2024-06-22 23:21:29+00:00,B1349,1487.0,1264.0,vijay (vijay shetty. ),fhrai/,2024-06-22 23:22:41+00:00,
2640,2024-05-16 00:53:48+00:00,F2640,32706.0,26165.0,vijay,ref.babuanna,2024-05-16 00:53:48+00:00,
2910,2024-05-19 23:31:56+00:00,F2910,8335.0,7938.0,vijay,no sc,2024-05-19 23:31:56+00:00,
3150,2024-10-02 21:54:50+00:00,F3150,3958.0,3770.0,Japheth (Japheth Onka).,sc,2024-10-02 21:58:06+00:00,
3876,2024-06-06 21:10:58+00:00,F3876,6592.0,6263.0,vijay (vijay shetty. ),no sc,2024-06-06 21:13:29+00:00,
7145,2024-08-03 21:05:48+00:00,F7145,2238.0,2132.0,vijay (vijay shetty. ),removed sc,2024-08-03 21:08:57+00:00,
9132,2024-09-04 15:31:49+00:00,F9132,8511.0,8106.0,vijay (vijay shetty).,removed sc,2024-09-04 15:33:29+00:00,
9486,2024-09-10 00:22:37+00:00,F9486,22579.0,21504.0,vijay (vijay shetty).,removed sc,2024-09-10 00:34:31+00:00,
11637,2024-10-16 17:15:31+00:00,F11637,342.0,273.0,sachindra (sachindra). Discount changed from 0 to 62.,MD,2024-10-16 17:28:17+00:00,
447,2024-04-08 23:56:37+00:00,F447,2883.0,2746.0,vijay,no sc,2024-04-08 23:56:37+00:00,
587,2024-05-05 23:35:07+00:00,B587,5953.0,5682.0,sachindra (sachindra. ),YES,2024-05-05 23:40:33+00:00,
2138,2024-05-08 14:38:09+00:00,F2138,2596.0,2473.0,sachindra,yes,2024-05-08 14:38:09+00:00,
2140,2024-08-11 00:20:19+00:00,B2140,5739.0,5478.0,vijay (vijay shetty. ),removed sc,2024-08-11 00:24:48+00:00,
2849,2024-05-19 14:52:21+00:00,F2849,4217.0,4016.0,sachindra,YES,2024-05-19 14:52:21+00:00,
5161,2024-06-28 21:33:00+00:00,F5161,3297.0,3140.0,vijay,removed sc,2024-06-28 21:33:00+00:00,
