browser_info,amount_to,amount_from,invoice_no,date_orap_year,date_orap_month,date_orap_day,date_orap_hour,electron_pos_year,electron_pos_month,electron_pos_day,electron_pos_hour,modify_comment_year,modify_comment_month,modify_comment_day,modify_comment_hour,modified_by_year,modified_by_month,modified_by_day,modified_by_hour,bill_no_year,bill_no_month,bill_no_day,bill_no_hour
,-0.5171359203381012,-0.5253696208389348,-1.0557869657787167,2024,6,15,23,2024,6,15,23,,,,,,,,,,,,
,-0.3634007943484264,-0.37071136721320874,-0.8814002074297974,2024,5,2,22,2024,5,2,22,,,,,,,,,,,,
,-0.4721828529798712,-0.4802435940060915,-0.6002091022720243,2024,9,20,22,2024,9,20,22,,,,,,,,,,,,
,-0.17900593067025025,-0.18572592234416316,-0.5501257080057257,2024,5,19,23,2024,5,19,23,,,,,,,,,,,,
,-0.12881561274601294,-0.13549325506141385,-0.2737619179579573,2024,6,5,14,2024,6,5,14,,,,,,,,,,,,
,0.2964927769685023,0.29106754823379943,-0.12683051429718956,2024,6,14,15,2024,6,14,15,,,,,,,,,,,,
,-0.6882194388276752,-0.6544946722151306,0.8549246962000139,2024,8,10,19,2024,8,10,19,,,,,,,,,,,,
,-0.5043701220834582,-0.5120298253779557,1.101117766810253,2024,8,22,23,2024,8,22,23,,,,,,,,,,,,
,-0.1263060968498011,-0.10016364052022712,1.199776019370974,2024,8,28,14,2024,8,28,14,,,,,,,,,,,,
,-0.2391252027925432,-0.24606765337468564,1.3518364453361216,2024,9,5,21,2024,9,5,21,,,,,,,,,,,,
,-0.11081256392536261,-0.11735947060664545,1.6945758181464543,2024,9,25,21,2024,9,25,21,,,,,,,,,,,,
,-0.6659611239221439,-0.6964941844868068,-1.3152551529414687,2024,4,7,21,2024,4,7,21,,,,,,,,,,,,
,-0.29869892798087705,-0.3057840814929747,-1.1743578931682068,2024,4,16,20,2024,4,16,20,,,,,,,,,,,,
,0.027210810366289976,0.02104090730101233,-0.6973588188608687,2024,5,12,14,2024,5,12,14,,,,,,,,,,,,
,-0.27174890944329744,-0.2787918391148999,-0.6834802879196051,2024,5,12,21,2024,5,12,21,,,,,,,,,,,,
,-0.1365623792082322,-0.25325863686536965,-0.5637025317526139,2024,5,19,19,2024,5,19,19,,,,,,,,,,,,
,-0.03574530581259029,-0.04211468683456042,-0.16303537762222473,2024,6,11,20,2024,6,11,20,,,,,,,,,,,,
,9.132825575690855,9.153277289013609,0.9143610134919467,2024,8,12,15,2024,8,12,15,,,,,,,,,,,,
,-0.5719088325075949,-0.5798751913552789,1.7594428649371423,2024,9,29,14,2024,9,29,14,,,,,,,,,,,,
,-0.5174632484984766,-0.5252654036868959,1.7953460210678023,2024,10,1,14,2024,10,1,14,,,,,,,,,,,,
,0.047286937535984896,0.04115481764451982,1.9863266751073627,2024,10,12,13,2024,10,12,13,,,,,,,,,,,,
,1.614206841253315,1.612645253239077,-1.3520634306552546,2024,4,6,15,2024,4,6,15,,,,,,,,,,,,
,-0.6882194388276752,-0.36101917207359113,-1.2621546867314173,2024,4,11,14,2024,4,11,14,,,,,,,,,,,,
,-0.5171359203381012,-0.5253696208389348,-1.0328572190061944,2024,6,20,21,2024,6,20,21,,,,,,,,,,,,
,-0.268366518452751,-0.27535267309761624,-0.9338972592510983,2024,4,29,21,2024,4,29,21,,,,,,,,,,,,
,-0.11648625203853727,-0.1230914139687849,-0.8183434038053612,2024,5,5,22,2024,5,5,22,,,,,,,,,,,,
,-0.26258372095278454,-0.2696207297354768,-0.7555883073753002,2024,5,9,22,2024,5,9,22,,,,,,,,,,,,
,0.2415016460254249,0.23593667480522193,0.10608743976053664,2024,6,26,23,2024,6,26,23,,,,,,,,,,,,
,5.0400233677428865,5.335698792676702,0.3960280535551932,2024,7,14,15,2024,7,14,15,,,,,,,,,,,,
,0.3342446247984721,0.3290025915759587,0.9182832070188255,2024,8,12,21,2024,8,12,21,,,,,,,,,,,,
,-0.44763324095171164,-0.4552314775167558,1.1171082481121435,2024,8,23,23,2024,8,23,23,,,,,,,,,,,,
,-0.09990162524618058,-0.10652088679459996,1.9477081542273251,2024,10,9,23,2024,10,9,23,,,,,,,,,,,,
,-0.46770936812140657,-0.47534538786026326,-1.1070771888225166,2024,4,20,22,2024,4,20,22,,,,,,,,,,,,
,0.782793313899645,0.7788038197758465,-0.3021223942292348,2024,6,2,22,2024,6,2,22,,,,,,,,,,,,
,-0.2516727822736025,-0.2586779287713924,0.004713822450438191,2024,6,21,20,2024,6,21,20,,,,,,,,,,,,
,-0.43792250552723966,-0.4454350652250993,0.8256590983456105,2024,8,9,0,2024,8,9,0,,,,,,,,,,,,
