Customer_Name,Invoice_No_,Sum_of_Sub_Total,Phone,Quantity,Staff_year,Staff_month,Staff_day,Staff_hour,Area_year,Area_month,Area_day,Area_hour,Status_year,Status_month,Status_day,Status_hour,Table_No__year,Table_No__month,Table_No__day,Table_No__hour,Date_year,Date_month,Date_day,Date_hour,Item_Name_year,Item_Name_month,Item_Name_day,Item_Name_hour
,-1.218972223875152,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.218972223875152,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.2165775320663346,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.2141828402575174,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.2117881484487,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.2117881484487,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.2069987648310656,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1998146894046136,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1734730795076236,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1710783876988062,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1710783876988062,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1686836958899889,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1662890040811715,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.161499620463537,,,1.08685650342295,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1591049286547197,,,1.08685650342295,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1543155450370852,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1519208532282679,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1495261614194505,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1471314696106334,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1471314696106334,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.144736777801816,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.144736777801816,,,1.08685650342295,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1423420859929987,,,3.633536217581704,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1375527023753642,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1375527023753642,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1351580105665469,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1327633187577295,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.127973935140095,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1255792433312777,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1231845515224606,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1207898597136432,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1183951679048258,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1160004760960085,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1136057842871914,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.111211092478374,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1064217088607395,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.1064217088607395,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,1,0,,,,
,-1.0920535580078357,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0896588661990185,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0872641743902012,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0800800989637493,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.077685407154932,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0752907153461146,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0728960235372975,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0728960235372975,,,1.08685650342295,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0705013317284802,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0681066399196628,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0681066399196628,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0657119481108455,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0657119481108455,,,1.08685650342295,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0633172563020283,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.060922564493211,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0585278726843936,,,1.9357497414758682,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0561331808755765,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0561331808755765,,,1.9357497414758682,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0537384890667592,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0513437972579418,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0465544136403073,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.04415972183149,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0130287283168653,,,1.08685650342295,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0082393446992306,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0034499610815961,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-1.0010552692727788,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9986605774639615,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9938711938463269,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9890818102286923,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9866871184198751,,,1.08685650342295,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9842924266110578,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9818977348022405,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9771083511846059,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9747136593757887,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9723189675669713,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9699242757581541,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9675295839493367,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9651348921405195,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9627402003317022,,,1.9357497414758682,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9603455085228849,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9579508167140677,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9555561249052503,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9531614330964331,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9531614330964331,,,1.9357497414758682,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9483720494787985,,,1.9357497414758682,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9435826658611639,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9435826658611639,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9411879740523467,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9387932822435293,,,0.23796326537003204,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9363985904347121,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9340038986258947,,,1.08685650342295,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
,-0.9316092068170775,,,-0.610929972682886,,,,,,,,,,,,,,,,,2024,10,2,0,,,,
